id,max_quality,cost,capital,pur,price,period,lag_price,lag_qv,lag_pur,lag_capital,diff_price,diff_qv,diff_pur,diff_capital
34,13.0,69.91,790.12,0,70.91,3,80.5,14.0,0.0,955.74,-9.590000000000003,-1.0,0.0,-165.62
35,26.0,34.75,885.84,0,35.75,3,29.31,6.0,0.0,1001.5,6.440000000000001,20.0,0.0,-115.65999999999997
36,16.0,39.78,609.93,0,40.78,3,82.61,18.0,0.0,766.2,-41.83,-2.0,0.0,-156.2700000000001
37,23.0,55.12,1214.25,0,56.12,3,37.0,28.0,572.0,1729.7,19.119999999999997,-5.0,-572.0,-515.45
38,19.0,69.71,1089.42,0,70.71,3,22.46,22.0,0.0,555.95,48.24999999999999,-3.0,0.0,533.47
39,17.0,52.33,1022.71,0,53.33,3,91.93,13.0,0.0,670.76,-38.60000000000001,4.0,0.0,351.95000000000005
40,25.0,76.07,752.89,0,77.07,3,40.21,10.0,0.0,1210.94,36.85999999999999,15.0,0.0,-458.05000000000007
41,1.0,34.71,709.08,0,35.71,3,24.52,27.0,564.0,3275.73,11.190000000000001,-26.0,-564.0,-2566.65
42,9.0,55.79,785.81,0,56.79,3,87.87,23.0,0.0,823.11,-31.080000000000005,-14.0,0.0,-37.30000000000007
43,27.0,49.7,559.83,0,50.7,3,82.31,23.0,0.0,570.88,-31.61,4.0,0.0,-11.049999999999955
44,26.0,74.41,909.78,0,75.41,3,32.79,2.0,0.0,822.28,42.62,24.0,0.0,87.5
45,25.0,32.53,530.9,0,33.53,3,93.01,26.0,0.0,622.5,-59.480000000000004,-1.0,0.0,-91.60000000000002
46,12.0,73.75,979.49,0,74.75,3,68.65,4.0,0.0,970.88,6.099999999999994,8.0,0.0,8.610000000000014
47,25.0,81.1,698.12,0,82.1,3,18.24,7.0,0.0,573.5,63.86,18.0,0.0,124.62
48,1.0,61.03,1167.84,0,62.03,3,73.61,4.0,0.0,846.73,-11.579999999999998,-3.0,0.0,321.1099999999999
49,5.0,81.9,953.38,0,82.9,3,14.17,13.0,0.0,1091.47,68.73,-8.0,0.0,-138.09000000000003
0,22.0,14.0,1543.37,0,15.0,4,56.12,23.0,0.0,1214.25,-41.12,-1.0,0.0,329.1199999999999
1,12.0,13.06,1650.26,0,14.06,4,12.35,9.0,0.0,617.12,1.7100000000000009,3.0,0.0,1033.1399999999999
2,5.0,79.54,562.73,0,80.54,4,63.85,24.0,0.0,590.44,16.690000000000005,-19.0,0.0,-27.710000000000036
3,17.0,114.86,745.72,0,115.86,4,101.52,7.0,0.0,12.08,14.340000000000003,10.0,0.0,733.64
4,17.0,0.05,2375.58,327,1.05,4,99.55,19.0,0.0,583.87,-98.5,-2.0,327.0,1791.71
5,5.0,88.04,65.05,0,89.04,4,38.42,12.0,0.0,563.92,50.620000000000005,-7.0,0.0,-498.86999999999995
6,20.0,98.36,159.57,0,99.36,4,97.07,38.0,8.0,890.9099999999999,2.2900000000000063,-18.0,-8.0,-731.3399999999999
7,16.0,55.78,695.46,0,56.78,4,70.91,13.0,0.0,790.12,-14.129999999999995,3.0,0.0,-94.65999999999997
8,16.0,83.15,746.94,0,84.15,4,35.75,26.0,0.0,885.84,48.400000000000006,-10.0,0.0,-138.89999999999998
9,8.0,38.71,697.28,0,39.71,4,40.78,16.0,0.0,609.93,-1.0700000000000003,-8.0,0.0,87.35000000000002
10,15.0,71.69,627.61,0,72.69,4,70.71,19.0,0.0,1089.42,1.980000000000004,-4.0,0.0,-461.81000000000006
11,28.0,36.0,1651.95,0,37.0,4,50.7,27.0,0.0,559.83,-13.700000000000003,1.0,0.0,1092.12
12,17.0,85.93,449.06,0,86.93,4,77.07,25.0,0.0,752.89,9.860000000000014,-8.0,0.0,-303.83
13,4.0,78.36,740.26,0,79.36,4,35.71,1.0,0.0,709.08,43.65,3.0,0.0,31.17999999999995
14,6.0,23.87,384.62,0,24.87,4,56.79,9.0,0.0,785.81,-31.919999999999998,-3.0,0.0,-401.18999999999994
15,4.0,70.44,731.55,0,71.44,4,85.55,31.0,0.0,1136.2,-14.11,-27.0,0.0,-404.6500000000001
16,29.0,86.9,533.89,0,87.9,4,75.41,26.0,0.0,909.78,12.490000000000009,3.0,0.0,-375.89
17,11.0,15.8,855.31,0,16.8,4,33.53,25.0,0.0,530.9,-16.73,-14.0,0.0,324.40999999999997
18,23.0,73.78,314.09,0,74.78,4,74.75,12.0,0.0,979.49,0.030000000000001137,11.0,0.0,-665.4000000000001
19,25.0,89.64,665.52,0,90.64,4,82.1,25.0,0.0,698.12,8.540000000000006,0.0,0.0,-32.60000000000002
20,27.0,13.25,4959.6900000000005,978,14.25,4,62.03,1.0,0.0,1167.84,-47.78,26.0,978.0,3791.8500000000004
21,10.0,36.08,1022.32,0,37.08,4,82.9,5.0,0.0,953.38,-45.82000000000001,5.0,0.0,68.94000000000005
22,5.0,36.46,658.37,0,37.46,4,53.33,17.0,0.0,1022.71,-15.869999999999997,-12.0,0.0,-364.34000000000003
23,31.0,33.48,1743.87,679,34.48,4,48.91,29.0,0.0,1570.34,-14.43,2.0,679.0,173.52999999999997
24,22.0,27.13,330.31,0,28.13,4,31.69,26.0,0.0,919.16,-3.5600000000000023,-4.0,0.0,-588.8499999999999
25,28.0,48.5,1400.43,0,49.5,4,36.15,31.0,613.0,1196.24,13.350000000000001,-3.0,-613.0,204.19000000000005
26,32.0,86.31,1041.01,8,87.31,4,9.06,21.0,370.0,1790.67,78.25,11.0,-362.0,-749.6600000000001
27,9.0,13.76,544.51,0,14.76,4,75.53,4.0,0.0,615.64,-60.77,5.0,0.0,-71.13
28,23.0,47.84,472.18,0,48.84,4,107.37,20.0,0.0,793.43,-58.53,3.0,0.0,-321.24999999999994
29,7.0,100.52,12.08,0,101.52,4,1.05,20.0,133.0,2238.62,100.47,-13.0,-133.0,-2226.54
30,14.0,91.07,519.97,0,92.07,4,85.82,8.0,0.0,160.37,6.25,6.0,0.0,359.6
